Run,Model,Frontend,Platform,Target,Setup Cycles,Setup Instructions,Run Cycles,Run Instructions,Deinit Cycles,Deinit Instructions,Total Cycles,Total Instructions,Setup CPI,Run CPI,Total CPI,Simulated Instructions,MIPS,Runtime [s],Validation,Run Stage Time [s],Total ROM,Total RAM,ROM read-only,ROM code,ROM misc,RAM data,RAM zero-init data,Compile Stage Time [s],Load Stage Time [s],Run Instructions (rel.),Features,Postprocesses,Comment,Arch
0,picojpeg,embench,mlif,etiss,54,54,3326490,3326490,43,43,3328009,3328009,1.0,1.0,1.0,3346050,4.71168,0.03328009,True,0.7603976726531982,92524,5096,4672,87844,8,1708,3388,2.2315449714660645,4.76837158203125e-05,1.0,[],"['config2cols', 'rename_cols', 'compare_rows']",-,rv32im_zicsr_zifencei
1,picojpeg,embench,mlif,etiss,53,53,3063077,3063077,42,42,3064590,3064590,1.0,1.0,1.0,3082630,4.36831,0.0306459,True,0.7529869079589844,92120,5096,4672,87440,8,1708,3388,2.2064461708068848,2.86102294921875e-05,0.9208135301774543,[],"['config2cols', 'rename_cols', 'compare_rows']",-,rv32im_zicsr_zifencei_xisaac
