label,t0,t1,td
bench_0,1779884009.627000,1779884014.560000,4.933000
trace_0,1779884014.571000,1779884027.160000,12.589000
isaac_0_load,1779884027.182000,1779884047.030000,19.848000
isaac_0_analyze,1779884047.046000,1779884060.520000,13.474000
isaac_0_visualize,1779884060.538000,1779884065.570000,5.032000
isaac_0_pick,1779884065.583000,1779884070.490000,4.907000
isaac_0_cdfg,1779884070.509000,1779884076.250000,5.741000
isaac_0_query,1779884076.277000,1779884100.770000,24.493000
isaac_0_generate,1779884100.790000,1779884108.130000,7.340000
assign_0_enc,1779884108.153000,1779884109.120000,.967000
isaac_0_etiss,1779884109.132000,1779884111.590000,2.458000
seal5_0_splitted,1779884111.611000,1779884592.330000,480.719000
assign_0_seal5,1779884592.352000,1779884593.270000,.918000
etiss_0,1779884593.287000,1779884657.050000,63.763000
compare_0,1779884657.072000,1779884670.310000,13.238000
compare_0_per_instr,1779884670.328000,1779884684.920000,14.592000
assign_0_compare_per_instr,1779884684.932000,1779884685.870000,.938000
filter_0,1779884685.887000,1779884686.950000,1.063000
spec_0_filtered,1779884686.970000,1779884687.520000,.550000
isaac_0_generate_filtered,1779884687.538000,1779884694.650000,7.112000
isaac_0_etiss_filtered,1779884694.663000,1779884697.200000,2.537000
hls_0_filtered,1779884697.213000,1779885396.750000,699.537000
assign_0_hls_filtered,1779885396.766000,1779885398.240000,1.474000
select_0_filtered,1779885398.255000,1779885421.110000,22.855000
isaac_0_etiss_filtered_selected,1779885421.129000,1779885423.620000,2.491000
hls_0_filtered_selected,1779885423.634000,1779885889.680000,466.046000
assign_0_hls_filtered_selected,1779885889.700000,1779885891.220000,1.520000
compare_0_filtered_selected,1779885891.237000,1779885904.650000,13.413000
assign_0_compare_filtered_selected,1779885904.672000,1779885904.700000,.028000
retrace_0_filtered_selected,1779885904.713000,1779885915.830000,11.117000
reanalyze_0_filtered_selected,1779885915.851000,1779886022.700000,106.849000
assign_0_util_filtered_selected,1779886022.715000,1779886023.690000,.975000
etiss_perf_0_filtered_selected,1779886906.922000,1779887041.630000,134.708000
compare_perf_0_filtered_selected,1779887041.652000,1779887059.180000,17.528000
retrace_perf_0_filtered_selected,1779887059.198000,1779887066.990000,7.792000
report_0,1779887067.006000,1779887067.890000,.884000
