,Model,Arch,Run Instructions,Run Instructions (rel.),Total ROM,Total RAM,ROM code,ROM code (rel.)
0,nettle-sha256,rv32im_zicsr_zifencei,3776360,1.0,9904,1336,9572,1.0
1,nettle-sha256,rv32im_zicsr_zifencei_xisaac,2345660,0.6211431113559088,7760,1336,7428,0.7760133723359799
