Run,Model,Frontend,Platform,Target,Setup Cycles,Setup Instructions,Run Cycles,Run Instructions,Deinit Cycles,Deinit Instructions,Total Cycles,Total Instructions,Setup CPI,Run CPI,Total CPI,Simulated Instructions,MIPS,Runtime [s],Validation,Run Stage Time [s],Total ROM,Total RAM,ROM read-only,ROM code,ROM misc,RAM data,RAM zero-init data,Compile Stage Time [s],Load Stage Time [s],Run Instructions (rel.),Features,Postprocesses,Comment,Arch
0,nettle-aes,embench,mlif,etiss,54,54,3582415,3582415,43,43,3586573,3586573,1.0,1.0,1.0,3604070,3.22422,0.03586573,True,1.1865499019622803,82204,4232,12256,69940,8,2252,1980,2.869234085083008,3.361701965332031e-05,1.0,[],"['config2cols', 'rename_cols', 'compare_rows']",-,rv32im_zicsr_zifencei
1,nettle-aes,embench,mlif,etiss,53,53,2642670,2642670,42,42,2646822,2646822,1.0,1.0,1.0,2664310,2.32824,0.02646822,True,1.2074286937713623,81944,4232,12256,69680,8,2252,1980,2.8165700435638428,1.8835067749023438e-05,0.7376783538478932,[],"['config2cols', 'rename_cols', 'compare_rows']",-,rv32im_zicsr_zifencei_xisaac
