instr,instr_lower,idx
CUSTOM2,custom2,0
CUSTOM5,custom5,1
CUSTOM9,custom9,2
CUSTOM21,custom21,3
CUSTOM27,custom27,4
CUSTOM29,custom29,5
CUSTOM31,custom31,6
CUSTOM33,custom33,7
CUSTOM35,custom35,8
CUSTOM37,custom37,9
