label,t0,t1,td
bench_0,1779312127.261000,1779312131.640000,4.379000
trace_0,1779312131.667000,1779312139.770000,8.103000
isaac_0_load,1779312139.783000,1779312153.320000,13.537000
isaac_0_analyze,1779312153.334000,1779312160.640000,7.306000
isaac_0_visualize,1779312160.648000,1779312165.100000,4.452000
isaac_0_pick,1779312165.115000,1779312168.500000,3.385000
isaac_0_cdfg,1779312168.521000,1779312199.030000,30.509000
isaac_0_query,1779312199.049000,1779312253.690000,54.641000
isaac_0_generate,1779312253.704000,1779312259.950000,6.246000
assign_0_enc,1779312259.969000,1779312261.200000,1.231000
isaac_0_etiss,1779312261.217000,1779312263.490000,2.273000
seal5_0_splitted,1779312263.511000,1779312641.820000,378.309000
assign_0_seal5,1779312641.832000,1779312643.130000,1.298000
etiss_0,1779312643.152000,1779312664.980000,21.828000
compare_0,1779312664.995000,1779312675.580000,10.585000
compare_0_per_instr,1779312675.608000,1779312693.160000,17.552000
assign_0_compare_per_instr,1779312693.187000,1779312694.030000,.843000
filter_0,1779312694.041000,1779312695.300000,1.259000
spec_0_filtered,1779312695.313000,1779312695.860000,.547000
isaac_0_generate_filtered,1779312695.877000,1779312701.560000,5.683000
isaac_0_etiss_filtered,1779312701.577000,1779312703.480000,1.903000
fake_hls_0_filtered,1779312703.500000,1779312707.070000,3.570000
assign_0_fake_hls_filtered,1779312707.083000,1779312708.300000,1.217000
select_0_filtered,1779312708.314000,1779312765.110000,56.796000
isaac_0_etiss_filtered_selected,1779312765.132000,1779312767.410000,2.278000
fake_hls_0_filtered_selected,1779312767.433000,1779312768.190000,.757000
assign_0_fake_hls_filtered_selected,1779312768.211000,1779312769.510000,1.299000
compare_0_filtered_selected,1779312769.525000,1779312779.960000,10.435000
assign_0_compare_filtered_selected,1779312779.974000,1779312779.980000,.006000
retrace_0_filtered_selected,1779312779.996000,1779312788.770000,8.774000
reanalyze_0_filtered_selected,1779312788.795000,1779312855.630000,66.835000
assign_0_util_filtered_selected,1779312855.651000,1779312856.250000,.599000
etiss_perf_0_filtered_selected,1779312856.277000,1779313036.350000,180.073000
compare_perf_0_filtered_selected,1779313036.373000,1779313065.590000,29.217000
retrace_perf_0_filtered_selected,1779313065.618000,1779313072.090000,6.472000
report_0,1779313072.107000,1779313072.730000,.623000
