instr,dynamic_util_score,static_util_score,util_score
CUSTOM18,0.017754666725375432,0.017754666725375432,0.035509333450750864
CUSTOM2,0.04587628335169758,0.04587628335169758,0.09175256670339516
CUSTOM21,0.032725401708212,0.032725401708212,0.065450803416424
CUSTOM29,0.0035367296116947857,0.0035367296116947857,0.007073459223389571
CUSTOM31,0.008877333362687716,0.008877333362687716,0.017754666725375432
CUSTOM7,0.04129913026989579,0.04129913026989579,0.08259826053979158
