instr,bits,footprint,weight,enc_score
CUSTOM0,15.0,0.6,0.0009765625,0.9990234375
CUSTOM2,20.0,0.8,0.03125,0.96875
CUSTOM3,15.0,0.6,0.0009765625,0.9990234375
CUSTOM4,10.0,0.4,3.0517578125e-05,0.999969482421875
CUSTOM5,15.0,0.6,0.0009765625,0.9990234375
CUSTOM7,20.0,0.8,0.03125,0.96875
CUSTOM11,20.0,0.8,0.03125,0.96875
CUSTOM12,15.0,0.6,0.0009765625,0.9990234375
CUSTOM13,15.0,0.6,0.0009765625,0.9990234375
CUSTOM15,20.0,0.8,0.03125,0.96875
CUSTOM17,20.0,0.8,0.03125,0.96875
CUSTOM18,15.0,0.6,0.0009765625,0.9990234375
CUSTOM21,15.0,0.6,0.0009765625,0.9990234375
CUSTOM24,15.0,0.6,0.0009765625,0.9990234375
CUSTOM25,15.0,0.6,0.0009765625,0.9990234375
CUSTOM27,15.0,0.6,0.0009765625,0.9990234375
CUSTOM29,20.0,0.8,0.03125,0.96875
CUSTOM31,20.0,0.8,0.03125,0.96875
CUSTOM32,15.0,0.6,0.0009765625,0.9990234375
CUSTOM33,10.0,0.4,3.0517578125e-05,0.999969482421875
CUSTOM35,20.0,0.8,0.03125,0.96875
CUSTOM37,15.0,0.6,0.0009765625,0.9990234375
