label,t0,t1,td
bench_0,1779303968.740000,1779303972.930000,4.190000
trace_0,1779303972.954000,1779303983.800000,10.846000
isaac_0_load,1779303983.827000,1779304000.760000,16.933000
isaac_0_analyze,1779304000.784000,1779304009.990000,9.206000
isaac_0_visualize,1779304010.016000,1779304012.920000,2.904000
isaac_0_pick,1779304012.947000,1779304016.110000,3.163000
isaac_0_cdfg,1779304016.137000,1779304046.020000,29.883000
isaac_0_query,1779304046.049000,1779304094.210000,48.161000
isaac_0_generate,1779304094.233000,1779304099.770000,5.537000
assign_0_enc,1779304099.790000,1779304100.520000,.730000
isaac_0_etiss,1779304100.542000,1779304102.350000,1.808000
seal5_0_splitted,1779304102.369000,1779304416.560000,314.191000
assign_0_seal5,1779304416.586000,1779304417.330000,.744000
etiss_0,1779304417.350000,1779304438.600000,21.250000
compare_0,1779304438.627000,1779304449.230000,10.603000
compare_0_per_instr,1779304449.252000,1779304461.800000,12.548000
assign_0_compare_per_instr,1779304461.829000,1779304462.570000,.741000
filter_0,1779304462.598000,1779304463.420000,.822000
spec_0_filtered,1779304463.445000,1779304463.860000,.415000
isaac_0_generate_filtered,1779304463.884000,1779304469.090000,5.206000
isaac_0_etiss_filtered,1779304469.116000,1779304470.870000,1.754000
fake_hls_0_filtered,1779304470.893000,1779304471.790000,.897000
assign_0_fake_hls_filtered,1779304471.814000,1779304472.900000,1.086000
select_0_filtered,1779304472.926000,1779304485.500000,12.574000
isaac_0_etiss_filtered_selected,1779304485.520000,1779304487.170000,1.650000
fake_hls_0_filtered_selected,1779304487.192000,1779304488.040000,.848000
assign_0_fake_hls_filtered_selected,1779304488.062000,1779304489.240000,1.178000
compare_0_filtered_selected,1779304489.266000,1779304499.640000,10.374000
assign_0_compare_filtered_selected,1779304499.668000,1779304499.690000,.022000
retrace_0_filtered_selected,1779304499.718000,1779304510.980000,11.262000
reanalyze_0_filtered_selected,1779304510.999000,1779304585.510000,74.511000
assign_0_util_filtered_selected,1779304585.536000,1779304586.160000,.624000
etiss_perf_0_filtered_selected,1779304586.185000,1779304846.730000,260.545000
compare_perf_0_filtered_selected,1779304846.753000,1779304873.020000,26.267000
retrace_perf_0_filtered_selected,1779304873.042000,1779304879.770000,6.728000
report_0,1779304879.800000,1779304880.480000,.680000
