x,y,nodes,size
0,1,set(),0
0,2,set(),0
0,3,set(),0
0,4,set(),0
0,5,set(),0
0,6,set(),0
1,2,set(),0
1,3,set(),0
1,4,set(),0
1,5,set(),0
1,6,set(),0
2,3,set(),0
2,4,set(),0
2,5,set(),0
2,6,set(),0
3,4,set(),0
3,5,set(),0
3,6,set(),0
4,5,set(),0
4,6,set(),0
5,6,"{1, 2, 3}",3
