instr,dynamic_util_score,static_util_score,util_score
CUSTOM1,0.048705291066183924,0.048705291066183924,0.09741058213236785
CUSTOM2,0.048705291066183924,0.048705291066183924,0.09741058213236785
CUSTOM23,0.02460631892406167,0.02460631892406167,0.04921263784812334
CUSTOM25,0.03652896829963794,0.03652896829963794,0.07305793659927588
CUSTOM27,0.03652896829963794,0.03652896829963794,0.07305793659927588
CUSTOM32,0.048705291066183924,0.048705291066183924,0.09741058213236785
CUSTOM33,0.048705291066183924,0.048705291066183924,0.09741058213236785
CUSTOM38,0.024352645533091962,0.024352645533091962,0.048705291066183924
CUSTOM41,0.024352645533091962,0.024352645533091962,0.048705291066183924
CUSTOM7,0.032470194044122616,0.032470194044122616,0.06494038808824523
