Run,Model,Frontend,Platform,Target,Setup Cycles,Setup Instructions,Run Cycles,Run Instructions,Deinit Cycles,Deinit Instructions,Total Cycles,Total Instructions,Setup CPI,Run CPI,Total CPI,Simulated Instructions,MIPS,Runtime [s],Validation,Run Stage Time [s],Total ROM,Total RAM,ROM read-only,ROM code,ROM misc,RAM data,RAM zero-init data,Compile Stage Time [s],Load Stage Time [s],Run Instructions (rel.),Features,Postprocesses,Comment,Arch
0,nettle-sha256,embench,mlif,etiss,54,54,3776360,3776360,43,43,3776738,3776738,1.0,1.0,1.0,3793870,5.03894,0.03776738,True,0.7958230972290039,75436,2808,2768,72660,8,1796,1012,1.8443653583526611,2.4318695068359375e-05,1.0,[],"['config2cols', 'rename_cols', 'compare_rows']",-,rv32im_zicsr_zifencei
1,nettle-sha256,embench,mlif,etiss,54,54,2345660,2345660,43,43,2346038,2346038,1.0,1.0,1.0,2363170,3.37762,0.02346038,True,0.7386384010314941,73292,2808,2768,70516,8,1796,1012,1.8310213088989258,1.5497207641601562e-05,0.6211431113559088,[],"['config2cols', 'rename_cols', 'compare_rows']",-,rv32im_zicsr_zifencei_xisaac
