,config,idx,II,Fallback,Instruction latencies,Allocation,Overall latency,Area estimate w/o lifetimes,Area estimate w/ lifetimes,Total lifetime,Total decoupled ops
113,SG_23_SOL_IDX_1,1,1,False,{'CUSTOM29': 4},{},3,1.0,1.0,0.0,0
114,SG_23_SOL_IDX_2,2,2,False,{'CUSTOM29': 4},{},3,1.0,1.0,0.0,0
115,SG_23_SOL_IDX_3,3,1,False,{'CUSTOM29': 5},{},3,1.0,1.0,0.0,0
116,SG_23_SOL_IDX_4,4,3,False,{'CUSTOM29': 5},{},3,1.0,1.0,0.0,0
117,SG_23_SOL_IDX_5,5,2,False,{'CUSTOM29': 6},{},3,1.0,1.0,0.0,0
118,SG_23_SOL_IDX_6,6,4,False,{'CUSTOM29': 6},{},3,1.0,1.0,0.0,0
119,SG_24_SOL_IDX_0,0,1,False,{'CUSTOM30': 3},{},3,1.0,1.0,0.0,0
120,SG_24_SOL_IDX_1,1,1,False,{'CUSTOM30': 4},{},3,1.0,1.0,0.0,0
121,SG_24_SOL_IDX_2,2,2,False,{'CUSTOM30': 4},{},3,1.0,1.0,0.0,0
122,SG_24_SOL_IDX_3,3,1,False,{'CUSTOM30': 5},{},3,1.0,1.0,0.0,0
123,SG_24_SOL_IDX_4,4,3,False,{'CUSTOM30': 5},{},3,1.0,1.0,0.0,0
124,SG_24_SOL_IDX_5,5,2,False,{'CUSTOM30': 6},{},3,1.0,1.0,0.0,0
125,SG_24_SOL_IDX_6,6,4,False,{'CUSTOM30': 6},{},3,1.0,1.0,0.0,0
126,SG_25_SOL_IDX_0,0,1,False,{'CUSTOM31': 3},{},3,1.0,1.0,0.0,0
127,SG_25_SOL_IDX_1,1,1,False,{'CUSTOM31': 4},{},3,1.0,1.0,0.0,0
128,SG_25_SOL_IDX_2,2,2,False,{'CUSTOM31': 4},{},3,1.0,1.0,0.0,0
129,SG_25_SOL_IDX_3,3,1,False,{'CUSTOM31': 5},{},3,1.0,1.0,0.0,0
130,SG_25_SOL_IDX_4,4,3,False,{'CUSTOM31': 5},{},3,1.0,1.0,0.0,0
131,SG_25_SOL_IDX_5,5,2,False,{'CUSTOM31': 6},{},3,1.0,1.0,0.0,0
132,SG_25_SOL_IDX_6,6,4,False,{'CUSTOM31': 6},{},3,1.0,1.0,0.0,0
133,SG_26_SOL_IDX_0,0,1,False,{'CUSTOM32': 3},{},3,1.0,1.0,0.0,0
134,SG_26_SOL_IDX_1,1,1,False,{'CUSTOM32': 4},{},3,1.0,1.0,0.0,0
135,SG_26_SOL_IDX_2,2,2,False,{'CUSTOM32': 4},{},3,1.0,1.0,0.0,0
136,SG_26_SOL_IDX_3,3,1,False,{'CUSTOM32': 5},{},3,1.0,1.0,0.0,0
137,SG_26_SOL_IDX_4,4,3,False,{'CUSTOM32': 5},{},3,1.0,1.0,0.0,0
138,SG_26_SOL_IDX_5,5,2,False,{'CUSTOM32': 6},{},3,1.0,1.0,0.0,0
139,SG_26_SOL_IDX_6,6,4,False,{'CUSTOM32': 6},{},3,1.0,1.0,0.0,0
140,SG_27_SOL_IDX_0,0,1,False,{'CUSTOM33': 3},{},3,1.0,1.0,0.0,0
141,SG_27_SOL_IDX_1,1,1,False,{'CUSTOM33': 4},{},3,1.0,1.0,0.0,0
142,SG_27_SOL_IDX_2,2,2,False,{'CUSTOM33': 4},{},3,1.0,1.0,0.0,0
143,SG_27_SOL_IDX_3,3,1,False,{'CUSTOM33': 5},{},3,1.0,1.0,0.0,0
144,SG_27_SOL_IDX_4,4,3,False,{'CUSTOM33': 5},{},3,1.0,1.0,0.0,0
145,SG_27_SOL_IDX_5,5,2,False,{'CUSTOM33': 6},{},3,1.0,1.0,0.0,0
146,SG_27_SOL_IDX_6,6,4,False,{'CUSTOM33': 6},{},3,1.0,1.0,0.0,0
