Run,Model,Frontend,Platform,Target,Setup Cycles,Setup Instructions,Run Cycles,Run Instructions,Deinit Cycles,Deinit Instructions,Total Cycles,Total Instructions,Setup CPI,Run CPI,Total CPI,Simulated Instructions,MIPS,Runtime [s],Validation,Run Stage Time [s],Total ROM,Total RAM,ROM read-only,ROM code,ROM misc,RAM data,RAM zero-init data,Compile Stage Time [s],Load Stage Time [s],Run Instructions (rel.),Features,Postprocesses,Comment,Arch
0,edn,embench,mlif,etiss,83,83,3765988,3765988,43,43,3767762,3767762,1.0,1.0,1.0,3785500,3.72888,0.03767762,True,1.0671470165252686,72220,4300,4112,68100,8,1708,2592,2.704531669616699,3.123283386230469e-05,1.0,[],"['config2cols', 'rename_cols', 'compare_rows']",-,rv32im_zicsr_zifencei
1,edn,embench,mlif,etiss,83,83,3526303,3526303,43,43,3528076,3528076,1.0,1.0,1.0,3545810,3.33869,0.03528076,True,1.1106607913970947,72124,4300,4112,68004,8,1708,2592,2.667532444000244,1.6927719116210938e-05,0.9363553468571859,[],"['config2cols', 'rename_cols', 'compare_rows']",-,rv32im_zicsr_zifencei_xisaac
