,Model,Arch,Run Instructions,Run Instructions (rel.),Total ROM,Total RAM,ROM code,ROM code (rel.)
0,md5sum,rv32im_zicsr_zifencei,2018668,1.0,4864,4328,4276,1.0
1,md5sum,rv32im_zicsr_zifencei_xisaaccustom0single,1966444,0.974129475475908,4860,4328,4272,0.999064546304958
