instr,bits,footprint,weight,enc_score
CUSTOM0,15.0,0.6,0.0009765625,0.9990234375
CUSTOM2,20.0,0.8,0.03125,0.96875
CUSTOM4,15.0,0.6,0.0009765625,0.9990234375
CUSTOM8,20.0,0.8,0.03125,0.96875
CUSTOM11,15.0,0.6,0.0009765625,0.9990234375
CUSTOM12,15.0,0.6,0.0009765625,0.9990234375
CUSTOM13,15.0,0.6,0.0009765625,0.9990234375
CUSTOM17,20.0,0.8,0.03125,0.96875
CUSTOM19,20.0,0.8,0.03125,0.96875
CUSTOM21,15.0,0.6,0.0009765625,0.9990234375
CUSTOM24,15.0,0.6,0.0009765625,0.9990234375
CUSTOM26,20.0,0.8,0.03125,0.96875
CUSTOM28,20.0,0.8,0.03125,0.96875
